eurasian_lynx	1	749.8333333333334
marbled_cat	1	900.1666666666666
mainland_leopard_cat	2	791.375
1	2	859.625
european_wildcat	3	146.02884615384616
sand_cat	3	174.97115384615384
lion	4	972.234375
2	4	1289.265625
sunda_clouded_leopard	5	1461.127840909091
4	5	1379.997159090909
domestic_cat	6	304.2078125
3	6	526.7921875
leopard	7	887.2092013888889
5	7	1772.415798611111
jaguar	8	746.1953125
tiger	8	841.8046875
7	9	1646.8989955357142
8	9	929.0072544642858
mainland_clouded_leopard	10	1082.5602213541667
9	10	1298.4710286458333
pallas_s_cat	11	960.1126953125
6	11	843.1373046875
10	12	1422.32763671875
11	12	1024.17919921875
asiatic_golden_cat	13	786.5703125
12	13	1356.328125
bobcat	14	739.39111328125
13	14	1143.00927734375
cheetah	15	789.84521484375
puma	15	738.15478515625
14	16	877.654541015625
15	16	877.654541015625
