0,1594,1666,1709,3190,2063,2096,2537,3302,2188,3276,3352,1984,1682,2083,3401,2057
1594,0,1606,1618,2802,2085,1997,2440,3191,2273,3179,3289,2088,1501,2110,3444,2123
1666,1606,0,1768,3176,2201,2105,2575,3278,2364,3251,3336,2078,1528,2218,3474,2173
1709,1618,1768,0,3227,756,1962,2437,3207,2240,3106,3355,1904,1753,906,3396,2158
3190,2802,3176,3227,0,3157,3465,3007,2213,3774,1613,1650,3168,3063,3191,3063,3647
2063,2085,2201,756,3157,0,2400,2348,3069,2348,3049,3296,1697,2245,321,3158,2466
2096,1997,2105,1962,3465,2400,0,1745,2482,2045,3475,3532,2341,2006,2426,3188,1588
2537,2440,2575,2437,3007,2348,1745,6,1895,2429,3028,3151,2386,2545,2371,2845,2135
3302,3191,3278,3207,2213,3069,2482,1895,8,3230,2237,2359,3148,3197,3091,2614,2909
2188,2273,2364,2240,3774,2348,2045,2429,3230,0,3743,3894,2384,2329,2363,2547,2022
3276,3179,3251,3106,1613,3049,3475,3028,2237,3743,0,1689,3063,3111,3061,3033,3665
3352,3289,3336,3355,1650,3296,3532,3151,2359,3894,1689,0,3307,3178,3319,3144,3810
1984,2088,2078,1904,3168,1697,2341,2386,3148,2384,3063,3307,0,2108,1708,3210,2388
1682,1501,1528,1753,3063,2245,2006,2545,3197,2329,3111,3178,2108,0,2250,3441,2143
2083,2110,2218,906,3191,321,2426,2371,3091,2363,3061,3319,1708,2250,0,3185,2481
3401,3444,3474,3396,3063,3158,3188,2845,2614,2547,3033,3144,3210,3441,3185,1,3372
2057,2123,2173,2158,3647,2466,1588,2135,2909,2022,3665,3810,2388,2143,2481,3372,0
